bathrooms,bedrooms,price,num_desc_words
1.0,1,2395,174
1.0,1,2975,90
1.0,3,4200,107
1.0,1,2700,129
1.0,2,2875,75
1.0,2,3295,98
1.0,2,3295,49
1.0,0,1370,0
1.0,0,1500,70
2.0,3,3850,96
1.0,1,2700,105
5.0,5,13500,167
2.0,2,6250,172
1.0,0,1750,62
1.0,1,1800,0
1.0,0,-1995,33
1.0,4,6650,58
1.0,3,3600,217
1.0,1,1800,52
1.0,0,-2000,157
1.0,1,4395,0
1.0,0,2695,204
2.0,4,6200,77
1.0,2,3100,97
2.0,3,6000,121
1.0,0,2550,179
1.0,1,-2700,68
1.0,0,2325,141
1.0,0,2500,170
1.0,1,2350,151
1.0,1,3350,154
1.0,3,-4500,126
1.0,0,2700,52
1.0,2,1750,89
1.0,1,3100,123
1.0,3,5295,62
2.0,3,5495,100
1.0,1,4595,120
2.0,4,5995,158
1.0,0,2695,0
2.0,4,6500,2
1.0,2,3650,18
1.0,1,2750,169
1.0,1,3745,68
1.0,1,3345,35
1.0,1,2599,75
1.0,1,2500,60
1.0,2,2795,7
2.0,4,7958,80
1.0,2,2900,61
1.0,0,1995,47
1.0,0,2450,136
1.0,1,1500,130
1.0,1,2600,0
1.5,2,3095,97
1.0,1,1350,62
1.0,3,4475,103
1.0,1,2400,19
1.0,1,2200,39
1.0,1,4276,76
1.0,0,2500,134
1.0,2,4000,0
1.0,1,2500,77
1.0,1,2799,55
1.0,1,3805,57
1.0,1,3450,18
1.0,1,2050,230
1.0,2,4900,16
1.0,0,3150,112
1.0,1,2525,204
3.0,3,11000,114
1.0,1,2395,133
2.0,2,5500,108
1.0,0,2650,28
2.0,2,4995,56
1.0,2,1900,97
1.0,1,2200,206
1.0,2,1950,90
2.0,3,4500,63
2.0,2,4100,131
1.0,2,2500,143
1.0,2,2875,111
1.0,3,3200,148
2.0,2,3992,154
1.0,2,4095,65
2.0,4,6495,72
1.0,1,2495,53
1.0,2,1695,27
1.0,1,2850,158
1.0,1,-2150,7
1.0,2,4400,107
1.0,1,1800,122
1.0,1,2471,150
1.0,1,4300,106
1.0,0,2500,9
1.0,2,1875,29
1.0,1,2995,81
1.0,2,3200,0
1.0,1,1900,80
1.0,2,2700,136
1.0,1,1625,37
1.0,2,3250,32
1.0,1,2500,118
2.0,2,5500,128
1.0,2,3495,124
1.0,2,3250,49
1.0,1,4475,131
1.0,2,3200,0
1.0,2,2800,92
1.0,2,-3760,176
2.0,3,3000,106
1.0,0,2695,112
1.0,0,3230,13
1.0,1,3250,96
1.0,1,3750,183
2.0,3,4725,208
1.0,0,2095,96
0.0,2,2850,0
1.0,0,2695,34
1.0,0,2500,134
2.0,2,7635,182
2.0,1,5166,0
1.0,0,2900,79
2.0,2,6195,92
1.0,1,2350,62
1.0,1,1750,29
1.0,1,3325,0
1.0,3,3050,131
1.0,3,3850,105
1.0,2,3685,89
1.0,0,-2995,84
1.0,1,3225,93
1.0,3,2975,257
1.0,1,1650,61
1.0,0,2775,52
1.0,1,1985,9
1.0,3,2500,94
2.0,3,2300,53
3.0,3,9250,186
1.0,0,1850,48
1.0,2,3000,106
1.0,0,3050,106
1.0,1,2350,26
1.0,1,3445,88
2.0,3,3900,0
1.0,0,2125,55
1.0,0,2190,89
1.0,3,4195,137
1.0,3,2500,97
1.0,1,1950,134
1.0,1,-2625,54
2.0,3,5100,199
1.0,0,2200,156
1.0,0,2100,81
2.0,2,8850,0
1.0,1,3065,110
1.0,0,3000,144
1.0,3,3995,100
2.0,4,5000,211
1.0,0,1895,102
1.0,1,3375,27
1.0,3,2000,95
1.0,2,3295,58
1.0,0,2100,0
1.0,1,2075,77
3.0,3,12000,89
1.0,2,3795,70
1.0,3,4350,55
1.0,0,2025,33
1.0,2,2750,57
2.0,3,4500,143
2.0,3,5000,114
1.0,0,2850,72
2.0,2,3400,45
1.0,0,5500,41
1.0,1,2300,56
1.0,1,2525,70
2.0,3,4121,64
1.0,1,2775,65
1.0,1,4100,0
1.0,2,4700,114
2.0,3,5000,110
1.0,0,1800,80
1.0,1,3595,71
1.0,2,3100,63
1.0,1,3750,0
2.0,2,4947,15
2.0,2,7329,132
1.0,2,3693,120
1.0,2,2450,0
1.0,2,2275,140
1.0,1,1800,58
1.0,0,1710,25
1.0,2,2375,35
1.0,1,1900,2
1.0,1,2795,66
1.0,1,2199,60
1.0,0,2347,99
1.0,0,3895,97
1.0,2,1850,39
1.0,1,3295,72
1.0,2,3760,194
1.0,1,2975,67
1.0,2,1900,0
1.0,1,2539,226
2.0,2,7000,96
1.0,1,1950,69
1.0,1,1795,2
1.0,2,2400,0
2.0,3,5790,123
1.0,1,3500,147
1.0,2,2600,92
1.0,1,2800,42
1.0,3,3785,78
1.0,2,3350,80
2.0,3,5900,70
1.0,0,1950,0
1.0,1,1625,36
1.0,1,1750,35
2.0,3,4500,72
1.0,1,3500,189
2.0,2,2595,55
1.0,1,3500,127
2.0,2,7195,66
1.0,2,4000,0
2.0,4,5000,128
1.0,1,3000,150
1.0,2,2350,30
2.0,3,4530,102
1.0,1,1475,43
1.0,3,4750,96
3.0,3,10750,189
1.0,1,2999,102
2.0,4,3900,76
1.0,2,3700,101
1.0,3,2450,149
2.0,2,3110,362
1.0,3,4650,29
2.0,3,4500,120
1.0,1,4300,148
1.0,1,3495,133
1.0,2,3100,106
1.5,4,5500,246
1.0,2,4200,121
1.0,0,2625,48
1.0,0,3660,234
1.0,0,2350,204
1.0,1,2075,56
1.0,1,2475,140
1.0,0,2425,96
1.0,0,4200,31
1.0,2,3050,121
1.0,2,3895,29
1.0,1,3050,63
1.0,2,3000,93
1.0,0,1250,11
1.0,1,2585,234
1.0,2,4495,23
1.0,0,5350,112
2.0,2,5408,110
1.0,0,2650,79
2.0,3,2300,16
2.0,2,5400,192
1.0,1,3425,77
1.0,0,2300,97
1.0,2,2300,36
1.0,1,-2150,59
1.0,1,2700,34
1.0,0,1700,35
1.0,2,3000,125
1.0,2,3050,90
1.0,4,6000,69
1.0,1,3240,106
1.0,2,2995,56
2.0,3,5895,21
2.0,2,5195,141
1.0,1,3000,107
1.0,2,3850,191
1.0,0,2538,67
1.0,1,4181,31
1.0,2,2600,200
1.0,1,2150,63
2.0,4,5400,91
1.0,2,3887,0
2.0,2,5787,260
1.0,1,2700,95
1.0,0,1895,50
1.0,2,2200,35
1.0,2,2400,171
2.0,3,4500,169
2.0,3,3700,90
1.0,0,3700,86
1.0,4,5000,114
1.0,1,2250,54
1.0,0,2500,247
1.0,1,3000,216
1.0,2,6025,89
1.0,2,3200,29
1.0,2,4029,0
1.0,2,1700,59
1.0,2,3200,59
1.0,1,4015,36
1.0,1,3690,98
1.0,0,2095,57
2.0,2,2990,40
1.0,2,2200,64
2.0,3,4895,96
1.0,1,1800,83
1.0,0,2395,82
1.0,2,2750,61
1.0,1,3163,119
1.0,3,4000,16
2.0,2,4825,111
1.0,1,5200,114
1.0,0,2700,107
1.0,1,2933,50
1.0,3,2700,50
2.0,3,4900,74
1.5,3,2400,31
1.0,1,1700,59
1.0,1,-2675,125
1.0,0,1795,54
1.0,1,4895,0
1.0,1,2550,0
5.0,4,27300,86
1.0,0,2275,30
1.0,1,2300,50
1.0,0,3465,37
1.0,1,3795,35
1.0,3,-4575,111
1.0,1,3678,126
2.0,2,11950,183
1.0,2,3600,93
1.0,1,2865,98
1.0,0,-2500,103
1.0,1,2955,84
1.0,1,2595,49
1.0,2,2650,269
1.0,2,3950,57
1.0,2,3295,3
1.0,0,2500,79
1.0,2,3499,121
1.0,1,-3490,2
1.0,1,2500,48
2.0,2,4625,0
1.0,2,4500,0
1.0,2,3200,179
2.0,2,5500,115
1.0,1,2800,81
1.0,3,3600,51
1.0,1,1725,196
1.0,0,2600,77
1.0,1,2700,85
1.0,2,3195,81
1.0,0,3150,48
2.0,3,6000,116
1.0,1,2350,81
1.0,1,3795,58
1.0,0,2725,30
1.0,2,3395,107
1.0,2,3200,32
1.0,1,2195,37
2.0,2,11000,91
1.0,0,2825,23
1.0,1,2775,38
1.0,3,2475,67
1.0,3,4000,104
1.0,0,1650,116
1.0,2,4500,43
1.0,3,2800,34
2.0,2,4200,111
1.0,1,3895,53
1.0,2,4295,36
1.0,0,1900,0
1.0,0,1975,73
1.0,2,2650,104
2.0,3,3795,120
1.0,0,3270,29
1.0,2,1900,24
1.0,2,3200,100
2.0,3,4475,106
1.0,2,3200,155
2.0,4,2492,126
1.5,1,4250,111
1.0,0,2300,0
1.0,1,2100,32
1.0,3,4000,106
3.0,3,6995,70
1.0,2,2575,91
1.0,0,2395,75
2.0,2,1595,186
1.0,2,4000,87
1.0,3,5600,30
2.0,3,4700,70
1.0,4,5000,153
1.0,1,4450,87
2.0,2,11000,130
1.0,1,3895,0
1.0,0,2760,146
1.0,2,3000,88
1.0,0,1900,63
1.0,0,2300,108
1.0,2,1900,52
2.0,2,5125,44
1.0,1,3295,67
1.0,0,3595,187
1.0,1,2150,65
1.0,2,3250,108
1.0,1,3050,42
1.0,3,2975,94
1.0,2,2050,57
1.0,2,3200,166
1.0,0,1895,10
2.0,2,4900,178
1.0,0,2500,155
1.0,1,3495,52
1.0,1,4790,67
1.0,2,3600,85
1.0,2,3876,209
1.0,1,2350,22
2.0,3,5500,61
1.0,1,2700,97
2.0,2,4000,80
1.0,2,3450,102
2.0,4,7850,128
1.0,1,1700,56
2.0,2,4200,233
1.0,3,3850,86
1.0,1,3600,22
1.0,1,2050,116
1.0,1,1700,107
1.0,0,2350,199
1.0,0,1850,0
1.0,1,2900,83
1.0,0,2095,64
1.0,0,2200,49
1.0,3,4595,69
1.0,2,3200,17
1.0,0,2595,7
1.0,1,3999,75
1.0,0,2000,150
1.0,0,-2900,35
1.0,1,1600,77
1.0,1,3095,78
1.0,0,2490,185
1.0,1,3879,70
1.0,1,2750,69
2.0,2,5500,57
2.0,3,5400,105
1.0,2,1900,150
1.0,2,2995,39
1.0,0,2500,247
2.0,1,4495,238
1.0,0,2195,175
1.0,1,2600,104
1.0,1,4000,70
1.0,0,2500,28
1.0,0,2400,90
1.0,2,1950,82
1.0,2,1999,142
1.0,1,4450,22
1.0,2,2800,152
1.0,1,2889,1
1.0,3,3975,72
1.0,0,2625,62
1.0,0,1750,78
1.0,2,2500,133
1.0,0,1450,0
1.0,0,2490,200
1.0,1,2600,68
1.0,2,2850,75
1.0,1,2200,44
1.0,2,4850,178
1.0,0,1895,30
1.0,0,2495,142
1.0,2,3900,0
1.0,1,3595,63
1.0,0,3850,0
1.0,2,2600,107
2.0,3,4595,57
1.0,1,3350,173
1.0,1,3295,83
2.0,3,4600,130
1.0,3,2899,36
1.0,2,3500,146
2.0,2,3700,165
2.0,2,-5400,120
1.0,1,2500,0
1.0,2,3800,79
1.0,2,3495,110
1.0,2,2800,152
2.0,2,6295,245
2.0,3,5200,104
2.0,4,5500,116
1.0,2,3125,114
1.0,0,2100,70
1.0,2,3400,169
1.0,0,2800,201
1.0,4,-5850,147
1.0,0,2695,42
1.0,0,1650,38
1.0,1,4200,61
1.0,3,2875,112
1.0,1,4530,15
1.0,2,4050,121
1.0,2,3450,80
1.0,2,3995,149
1.0,1,3200,52
1.0,1,3495,47
1.0,1,2550,73
1.0,0,2659,88
2.0,3,4795,74
1.0,0,2100,25
1.0,0,1550,128
1.0,1,2695,44
1.0,1,4300,81
3.0,6,8000,92
1.0,0,2750,19
1.0,1,1849,45
1.0,0,2000,123
1.0,0,2900,278
1.0,0,2290,227
2.0,3,3700,82
2.0,3,5000,77
3.0,3,11200,90
1.0,0,2000,57
1.0,1,2300,132
1.0,0,2300,44
1.0,0,1925,95
1.0,0,2795,49
1.0,2,4975,90
1.0,0,4800,0
2.0,2,7416,102
1.0,0,1850,91
1.0,0,-2150,30
2.0,3,5995,118
1.0,2,2650,56
1.0,1,3050,70
0.0,0,3030,223
1.0,1,3595,106
1.0,2,3500,0
2.0,2,6000,91
1.0,0,1244,0
1.0,0,2650,28
1.0,0,2495,51
1.0,0,2200,80
1.0,0,3000,125
1.0,2,3250,24
1.0,3,3895,37
1.0,2,3049,69
1.0,1,2800,49
1.0,2,3800,3
1.0,0,2300,24
1.0,2,2400,65
1.0,2,2900,118
1.0,0,2400,93
1.0,2,3100,142
1.0,0,1400,30
1.0,0,2995,93
1.0,2,4975,110
2.0,3,4395,104
2.0,3,7150,0
2.0,3,5495,156
2.0,2,4300,46
1.0,0,1430,0
1.0,2,3150,1
2.0,1,2690,83
1.0,0,4145,102
2.0,4,5000,122
2.0,2,4000,29
2.0,3,5000,136
1.0,2,5000,30
2.0,2,6200,142
1.0,0,3155,152
2.0,3,5300,106
1.0,2,1850,58
1.0,0,3000,71
1.0,1,3650,223
1.0,1,2800,35
1.0,2,2300,70
2.0,3,7650,222
2.0,2,5500,104
2.0,3,5000,77
1.0,0,1750,46
2.0,3,8300,171
1.0,2,3258,240
1.0,1,3450,53
1.0,1,2100,60
1.0,3,4495,136
1.0,2,4395,91
1.0,0,1550,0
2.0,3,5000,88
3.0,4,-11750,84
1.0,0,2500,71
1.0,2,3270,148
1.0,1,2650,77
1.0,0,2995,69
1.0,0,2100,80
1.0,1,2650,46
1.0,1,2795,178
2.0,4,6695,76
1.0,0,2400,21
1.0,2,3550,122
2.0,3,4600,92
1.0,1,3760,0
2.0,2,7350,73
1.0,0,1995,130
1.0,0,2650,18
1.0,2,2100,94
1.0,0,2441,199
2.0,1,5000,126
2.0,4,5350,145
1.0,1,3580,39
1.0,3,3100,137
1.0,0,3725,87
1.0,1,2200,54
1.0,1,3550,116
1.0,1,1850,110
1.0,2,3050,126
1.0,2,3750,50
1.0,0,2675,31
1.0,3,4095,87
1.0,1,5000,123
2.0,2,5850,83
1.0,1,1850,83
1.0,2,2895,89
1.0,0,1650,104
1.0,1,3300,53
1.0,2,3200,97
2.0,3,5500,94
1.0,3,4600,72
1.0,1,2500,47
1.0,0,2500,27
1.5,3,4900,130
1.0,0,2300,132
1.0,0,2295,80
1.0,1,2650,32
1.0,2,2550,59
1.0,0,2200,10
1.0,1,1850,23
1.0,1,3600,60
1.0,1,2550,124
1.0,2,2700,47
1.0,0,2630,138
1.0,2,3200,58
1.0,2,4750,91
1.0,2,1695,6
1.0,0,2450,143
1.0,1,4030,184
2.0,2,6000,41
1.0,1,2827,200
1.0,1,3450,203
1.0,1,3500,62
2.0,3,4500,88
2.0,2,6000,95
1.0,0,2363,142
1.0,3,3625,253
1.0,1,3400,144
1.0,1,4260,153
1.0,2,4195,57
2.0,2,5600,128
1.0,1,4775,21
1.0,1,1700,2
1.0,0,2400,102
1.0,0,1800,91
1.0,1,2395,55
1.0,0,2300,80
1.5,2,7500,76
1.0,2,-1975,97
1.0,1,-3795,94
1.0,2,3600,24
1.0,3,5400,62
2.0,2,4250,129
1.0,0,2350,53
2.0,2,6450,151
1.0,0,2400,90
1.0,1,4395,89
1.0,2,3795,0
1.5,4,3595,40
1.0,2,4000,70
1.0,0,2375,138
1.0,1,2800,85
1.0,1,3695,100
1.0,0,2850,126
1.0,1,6160,0
1.0,1,4395,84
1.0,1,3200,45
2.0,1,3650,171
1.0,3,3850,59
1.0,1,1500,32
1.0,3,3700,94
1.0,2,2295,59
2.0,2,-5745,183
1.0,2,3595,62
1.0,0,2550,41
1.5,1,8895,0
1.0,3,4200,157
1.0,0,1750,125
1.0,2,3750,0
2.0,3,7150,0
1.0,2,5250,83
1.0,0,2325,220
1.0,2,3000,44
1.0,2,3236,138
1.0,2,3750,0
2.0,3,5395,130
1.0,1,3600,60
1.0,2,2350,69
1.0,3,4495,47
1.0,2,2300,125
1.0,1,2500,120
1.0,1,3795,0
1.0,0,2800,173
1.0,0,2695,83
1.0,0,1975,85
1.0,1,3850,57
0.0,0,2575,241
1.0,1,2795,93
1.0,2,2895,19
1.0,1,1650,0
1.0,3,2895,100
1.0,1,2500,58
1.0,1,2500,130
1.0,2,2295,55
1.0,2,2145,94
1.0,2,3595,175
1.0,2,2450,50
1.0,1,2100,51
1.0,2,3500,135
3.0,3,13080,131
1.0,2,2950,39
1.0,0,2100,84
1.0,1,2000,37
1.0,1,3800,115
2.0,3,5500,106
1.0,1,3250,92
1.0,1,3495,195
1.0,1,5390,125
1.0,1,3350,105
1.0,3,2600,0
1.0,1,5025,96
2.0,4,8000,67
2.0,3,7000,91
1.0,3,4200,0
1.0,3,5700,153
1.0,2,2350,36
1.0,1,3750,145
1.0,1,2500,76
1.0,1,2800,37
1.0,1,1400,78
1.0,3,2400,111
1.0,2,3000,84
2.0,2,19938,56
1.0,1,4150,2
2.0,3,2497,131
1.0,1,2800,90
2.0,3,4772,131
2.0,3,4700,183
1.0,0,3795,64
1.0,3,4250,43
1.0,0,1150,74
1.0,1,3075,95
1.0,2,4095,30
1.0,3,3500,64
1.0,1,3100,108
1.0,3,4695,45
2.0,4,5200,87
1.0,2,3950,174
2.0,3,4975,23
1.0,1,2995,98
1.5,2,4400,203
2.0,4,3900,98
1.0,1,2250,104
2.0,3,6200,79
1.0,2,3700,109
1.0,1,1800,0
1.0,2,2900,24
2.0,3,3295,73
1.0,2,3095,90
1.0,0,2400,141
1.0,1,2065,72
1.0,1,3860,169
1.0,1,3350,65
1.0,2,2895,48
1.0,3,3800,191
1.0,1,3195,15
2.0,2,3000,63
1.0,3,4950,94
1.0,0,-3375,23
1.0,1,2875,0
1.0,1,4050,113
1.0,2,3450,48
1.0,1,3200,0
1.0,2,2600,159
1.0,3,2600,76
1.0,2,3995,105
1.0,2,2650,55
2.0,2,4823,113
1.5,4,6495,66
1.0,1,2450,156
1.0,2,3200,144
2.0,3,6000,130
1.0,2,4725,250
1.0,2,3050,150
1.0,0,2995,86
1.0,1,3708,142
1.0,1,1800,48
1.0,0,2300,83
1.0,0,2300,24
1.0,2,2745,48
1.0,1,2550,78
1.0,1,3800,81
1.0,0,2195,60
1.0,1,3450,41
1.0,0,1750,29
2.0,2,14000,313
1.0,0,2475,0
2.0,2,8140,232
1.0,0,2350,58
1.0,0,2850,48
1.0,0,3600,194
2.0,2,6200,187
1.0,1,3795,74
1.0,0,3083,121
2.5,2,6200,78
2.0,3,4500,91
1.0,1,2500,75
1.0,2,1550,23
1.0,1,2495,100
1.0,0,1795,112
1.0,1,3350,66
1.0,1,3300,188
1.0,1,2695,86
3.0,3,11250,132
2.0,4,5733,120
1.0,1,1700,37
1.0,1,5000,94
1.0,1,1375,55
1.0,1,2700,64
1.0,1,4550,130
1.0,3,6000,61
1.0,0,2910,90
1.0,0,2450,43
1.0,2,5500,64
1.0,0,2725,50
1.0,0,2300,95
